symbol,identifier,purpose,lastPrice,change,pChange,previousClose,finalQuantity,totalTurnover,marketCap,yearHigh,yearLow,iep,chartTodayPath
UPL,UPLEQN, DIVIDEND - RS 10 PER SHARE,728.0,0.9500000000000455,0.13066501616120563,727.05,3845,2799160.0,399959459125.06,864.7,514.05,728.0,https://static.nseindia.com/sparklines/today/preOpen_UPLEQN.jpg
LT,LTEQN, ANNUAL GENERAL MEETING/DIVIDEND - RS 18 PER SHARE,1870.0,1.2999999999999545,0.06956707871782279,1868.7,5051,9445370.0,2257691898888.89,2078.55,1306.0,1870.0,https://static.nseindia.com/sparklines/today/preOpen_LTEQN.jpg
ULTRACEMCO,ULTRACEMCOEQN, ANNUAL GENERAL MEETING/DIVIDEND - RS 37 PER SHARE,7049.0,3.050000000000182,0.04328727850751399,7045.95,912,6428688.0,813567626061.06,8269.0,5970.2,7049.0,https://static.nseindia.com/sparklines/today/preOpen_ULTRACEMCOEQN.jpg
RELIANCE,RELIANCEEQN, DIVIDEND - RS 7 PER SHARE,2444.4,0.900000000000091,0.03683241252302398,2443.5,39215,95857146.0,8426908411074.36,2751.35,1876.7,2444.4,https://static.nseindia.com/sparklines/today/preOpen_RELIANCEEQN.jpg
HDFC,HDFCEQN, DIVIDEND - RS 23 PER SH,2411.8,0.0,0.0,2411.8,14812,35723581.6,4361200449923.4,3021.1,2286.85,2411.8,https://static.nseindia.com/sparklines/today/preOpen_HDFCEQN.jpg
SUNPHARMA,SUNPHARMAEQN,INTERIM DIVIDEND - RS 7 PER SHARE,862.55,0.0,0.0,862.55,2355,2031305.25,931295870268.08,902.85,562.1,862.55,https://static.nseindia.com/sparklines/today/preOpen_SUNPHARMAEQN.jpg
ITC,ITCEQN,INTERIM DIVIDEND - RS 5.25 PER SHARE,222.65,0.0,0.0,222.65,27601,6145362.65,1947981127767.83,265.3,199.1,222.65,https://static.nseindia.com/sparklines/today/preOpen_ITCEQN.jpg
IOC,IOCEQN,INTERIM DIVIDEND - RS  4 PER SHARE,121.4,0.0,0.0,121.4,20313,2465998.2,308577301145.32,141.5,86.75,121.4,https://static.nseindia.com/sparklines/today/preOpen_IOCEQN.jpg
NTPC,NTPCEQN,INTERIM DIVIDEND - RS 4 PER SHARE,132.75,0.0,0.0,132.75,21431,2844965.25,630743890351.37,152.1,97.0,132.75,https://static.nseindia.com/sparklines/today/preOpen_NTPCEQN.jpg
BAJAJ-AUTO,BAJAJ-AUTOEQN, ANNUAL GENERAL MEETING/DIVIDEND - RS 140 PER SHARE,3597.0,-0.3000000000001819,-0.008339588024356654,3597.3,502,1805694.0,468422991470.7,4347.0,3027.05,3597.0,https://static.nseindia.com/sparklines/today/preOpen_BAJAJ-AUTOEQN.jpg
MARUTI,MARUTIEQN, DIVIDEND - RS 45 PER SHARE,8550.0,-2.4500000000007276,-0.02864676203895641,8552.45,417,3565350.0,1136750828024.68,9050.0,6400.0,8550.0,https://static.nseindia.com/sparklines/today/preOpen_MARUTIEQN.jpg
COALINDIA,COALINDIAEQN,INTERIM DIVIDEND - RS 5 PER SHARE,163.0,-0.05000000000001137,-0.030665440049071676,163.05,20406,3326178.0,341643170263.9,203.8,123.4,163.0,https://static.nseindia.com/sparklines/today/preOpen_COALINDIAEQN.jpg
CIPLA,CIPLAEQN, ANNUAL GENERAL MEETING/DIVIDEND - RS 5 PER SHARE,927.5,-0.7000000000000455,-0.07541478129713913,928.2,1548,1435770.0,479272113046.27,1005.0,738.1,927.5,https://static.nseindia.com/sparklines/today/preOpen_CIPLAEQN.jpg
POWERGRID,POWERGRIDEQN,INTERIM DIVIDEND - RS 5.50 PER SHARE,196.8,-0.19999999999998863,-0.10152284263958815,197.0,8965,1764312.0,673340464961.92,220.2,148.88,196.8,https://static.nseindia.com/sparklines/today/preOpen_POWERGRIDEQN.jpg
SBILIFE,SBILIFEEQN, INTERIM DIVIDEND - RS 2.5 PER SHARE,1124.8,-1.5499999999999545,-0.13761264260664577,1126.35,2053,2309214.4,495723547776.01,1293.25,845.1,1124.8,https://static.nseindia.com/sparklines/today/preOpen_SBILIFEEQN.jpg
AXISBANK,AXISBANKEQN, ANNUAL GENERAL MEETING/ DIVIDEND - RE 1 PER SHARE,781.15,-1.6499999999999773,-0.21078180889115705,782.8,14839,11591484.85,2017091928723.98,866.9,626.65,781.15,https://static.nseindia.com/sparklines/today/preOpen_AXISBANKEQN.jpg
DIVISLAB,DIVISLABEQN, DIVIDEND - RS 20 PER SHARE,4432.7,-9.5,-0.21385799828913601,4442.2,585,2593129.5,566046972516.48,5425.1,3153.3,4432.7,https://static.nseindia.com/sparklines/today/preOpen_DIVISLABEQN.jpg
HINDALCO,HINDALCOEQN, ANNUAL GENERAL MEETING/DIVIDEND - RS 3 PER SHARE,531.0,-1.5499999999999545,-0.29105248333488964,532.55,8603,4568193.0,777874693889.8,553.85,301.0,531.0,https://static.nseindia.com/sparklines/today/preOpen_HINDALCOEQN.jpg
ONGC,ONGCEQN,INTERIM DIVIDEND - RS 1.75 PER SHARE,171.2,-0.5500000000000114,-0.32023289665211724,171.75,53747,9201486.4,626592256552.85,176.35,97.45,171.2,https://static.nseindia.com/sparklines/today/preOpen_ONGCEQN.jpg
TATASTEEL,TATASTEELEQN, ANNUAL GENERAL MEETING/DIVIDEND - RS 25 PER SHARE,1187.0,-3.9500000000000455,-0.33166799613754105,1190.95,13148,15606676.0,945933569637.81,1534.5,655.95,1187.0,https://static.nseindia.com/sparklines/today/preOpen_TATASTEELEQN.jpg
TATAMOTORS,TATAMOTORSEQN, DIVIDEND - RE 0.20/- PER SHARE,498.0,-1.9499999999999886,-0.3900390039003878,499.95,52076,25933848.0,896459456638.85,536.7,268.45,498.0,https://static.nseindia.com/sparklines/today/preOpen_TATAMOTORSEQN.jpg
TCS,TCSEQN,BUYBACK,3769.0,-15.199999999999818,-0.4016701020030606,3784.2,41130,155018970.0,3919426057597.85,4043.0,2880.0,3769.0,https://static.nseindia.com/sparklines/today/preOpen_TCSEQN.jpg
BRITANNIA,BRITANNIAEQN, ANNUAL GENERAL MEETING,3450.0,-14.099999999999909,-0.4070321295574582,3464.1,308,1062600.0,408852013445.06,4153.0,3317.3,3450.0,https://static.nseindia.com/sparklines/today/preOpen_BRITANNIAEQN.jpg
BPCL,BPCLEQN,INTERIM DIVIDEND - RS 5 PER SHARE,371.45,-1.5500000000000114,-0.4155495978552309,373.0,4242,1575690.9,356017760345.28,503.0,356.6,371.45,https://static.nseindia.com/sparklines/today/preOpen_BPCLEQN.jpg
HDFCLIFE,HDFCLIFEEQN, DIVIDEND - RS 2.02 PER SH,590.0,-2.6000000000000227,-0.43874451569355766,592.6,6913,4078670.0,551949936431.67,775.65,551.6,590.0,https://static.nseindia.com/sparklines/today/preOpen_HDFCLIFEEQN.jpg
KOTAKBANK,KOTAKBANKEQN, DIVIDEND - RS 0.90 PER SHARE,1809.05,-8.25,-0.4539701755351346,1817.3,2589,4683630.45,2667533390639.62,2253.0,1626.0,1809.05,https://static.nseindia.com/sparklines/today/preOpen_KOTAKBANKEQN.jpg
ICICIBANK,ICICIBANKEQN, DIVIDEND - RS 2 PER SHARE,746.85,-3.5,-0.4664489904711135,750.35,59180,44198583.0,5209781204683.5,867.0,531.15,746.85,https://static.nseindia.com/sparklines/today/preOpen_ICICIBANKEQN.jpg
JSWSTEEL,JSWSTEELEQN, ANNUAL GENERAL MEETING/DIVIDEND - RS 6.50 PER SHARE,635.2,-3.0,-0.4700720777185835,638.2,2972,1887814.4,632494734771.28,776.5,390.95,635.2,https://static.nseindia.com/sparklines/today/preOpen_JSWSTEELEQN.jpg
HEROMOTOCO,HEROMOTOCOEQN,INTERIM DIVIDEND - RS 60 PER SHARE,2780.0,-13.449999999999818,-0.48148347026078214,2793.45,1464,4069920.0,362794849649.02,3629.05,2310.0,2780.0,https://static.nseindia.com/sparklines/today/preOpen_HEROMOTOCOEQN.jpg
DRREDDY,DRREDDYEQN, ANNUAL GENERAL MEETING/DIVIDEND - RS 25 PER SHARE,4280.0,-21.0,-0.4882585445245292,4301.0,478,2045840.0,522504108319.16,5614.6,4135.0,4280.0,https://static.nseindia.com/sparklines/today/preOpen_DRREDDYEQN.jpg
GRASIM,GRASIMEQN, ANNUAL GENERAL MEETING/DIVIDEND - RS 5  PER SHARE/ SPECIAL DIVIDEND - RS 4 PER SHARE,1702.0,-9.25,-0.5405405405405406,1711.25,614,1045028.0,642041250788.89,1929.8,1190.85,1702.0,https://static.nseindia.com/sparklines/today/preOpen_GRASIMEQN.jpg
SHREECEM,SHREECEMEQN,INTERIM DIVIDEND - RS 45 PER SHARE,24590.0,-133.84999999999854,-0.5413800844124138,24723.85,107,2631130.0,330060350532.73,32048.0,23500.05,24590.0,https://static.nseindia.com/sparklines/today/preOpen_SHREECEMEQN.jpg
HDFCBANK,HDFCBANKEQN, DIVIDEND - RS 6.50 PER SHARE,1498.3,-8.200000000000045,-0.5443079986724225,1506.5,14850,22249755.0,6595313736429.76,1725.0,1353.0,1498.3,https://static.nseindia.com/sparklines/today/preOpen_HDFCBANKEQN.jpg
SBIN,SBINEQN, DIVIDEND - RS 4 PER SHARE,510.1,-2.8500000000000227,-0.5556097085485959,512.95,40695,20758519.5,1968488179137.08,549.0,321.3,510.1,https://static.nseindia.com/sparklines/today/preOpen_SBINEQN.jpg
TITAN,TITANEQN, ANNUAL GENERAL MEETING/DIVIDEND - RS 4 PER SHARE,2479.3,-13.899999999999636,-0.5575164447296501,2493.2,2177,5397436.1,1040311373432.64,2687.25,1396.0,2479.3,https://static.nseindia.com/sparklines/today/preOpen_TITANEQN.jpg
ADANIPORTS,ADANIPORTSEQN, DIVIDEND - RS 5 PER SH,729.9,-4.300000000000068,-0.5856714791610008,734.2,4988,3640741.2,539659491453.43,901.0,628.65,729.9,https://static.nseindia.com/sparklines/today/preOpen_ADANIPORTSEQN.jpg
M&M,M&MEQN, ANNUAL GENERAL MEETING/DIVIDEND - RS 8.75 PER SHARE,857.2,-5.0499999999999545,-0.5856770078283507,862.25,3206,2748183.2,825395933719.28,979.0,724.65,857.2,https://static.nseindia.com/sparklines/today/preOpen_M&MEQN.jpg
HINDUNILVR,HINDUNILVREQN, INTERIM DIVIDEND - RS 15 PER SHARE,2294.0,-13.550000000000182,-0.5872028775107877,2307.55,4021,9224174.0,2060283740318.68,2859.3,2120.0,2294.0,https://static.nseindia.com/sparklines/today/preOpen_HINDUNILVREQN.jpg
INDUSINDBK,INDUSINDBKEQN, DIVIDEND - RS 5 PER SHARE,950.0,-5.7999999999999545,-0.6068215107763083,955.8,3743,3555850.0,621863385987.82,1242.0,811.0,950.0,https://static.nseindia.com/sparklines/today/preOpen_INDUSINDBKEQN.jpg
TECHM,TECHMEQN, SPECIAL DIVIDEND - RS 15 PER SHARE,1438.45,-9.099999999999909,-0.6286484059272501,1447.55,2031,2921491.95,899034649624.8,1838.0,915.0,1438.45,https://static.nseindia.com/sparklines/today/preOpen_TECHMEQN.jpg
TATACONSUM,TATACONSUMEQN, ANNUAL GENERAL MEETING/DIVIDEND - RS 4.05 PER SHARE,715.6,-4.75,-0.6594016797390158,720.35,6506,4655693.6,431495855635.16,889.0,577.05,715.6,https://static.nseindia.com/sparklines/today/preOpen_TATACONSUMEQN.jpg
