symbol,identifier,purpose,lastPrice,change,pChange,previousClose,finalQuantity,totalTurnover,marketCap,yearHigh,yearLow,iep,chartTodayPath
AXISBANK,AXISBANKEQN, ANNUAL GENERAL MEETING/ DIVIDEND - RE 1 PER SHARE,781.15,-1.6499999999999773,-0.21078180889115705,782.8,14839,11591484.85,2017091928723.98,866.9,626.65,781.15,https://static.nseindia.com/sparklines/today/preOpen_AXISBANKEQN.jpg
AUBANK,AUBANKEQN, ANNUAL GENERAL MEETING/DIVIDEND - RS 0.75 PER SHARE,1265.0,-4.650000000000091,-0.36624266530146815,1269.65,455,575575.0,278864153314.67,1421.0,910.0,1265.0,https://static.nseindia.com/sparklines/today/preOpen_AUBANKEQN.jpg
KOTAKBANK,KOTAKBANKEQN, DIVIDEND - RS 0.90 PER SHARE,1809.05,-8.25,-0.4539701755351346,1817.3,2589,4683630.45,2667533390639.62,2253.0,1626.0,1809.05,https://static.nseindia.com/sparklines/today/preOpen_KOTAKBANKEQN.jpg
ICICIBANK,ICICIBANKEQN, DIVIDEND - RS 2 PER SHARE,746.85,-3.5,-0.4664489904711135,750.35,59180,44198583.0,5209781204683.5,867.0,531.15,746.85,https://static.nseindia.com/sparklines/today/preOpen_ICICIBANKEQN.jpg
PNB,PNBEQN, ANNUAL GENERAL MEETING,37.85,-0.19999999999999574,-0.5256241787122096,38.05,163564,6190897.4,113121668335.11,48.2,32.5,37.85,https://static.nseindia.com/sparklines/today/preOpen_PNBEQN.jpg
HDFCBANK,HDFCBANKEQN, DIVIDEND - RS 6.50 PER SHARE,1498.3,-8.200000000000045,-0.5443079986724225,1506.5,14850,22249755.0,6595313736429.76,1725.0,1353.0,1498.3,https://static.nseindia.com/sparklines/today/preOpen_HDFCBANKEQN.jpg
SBIN,SBINEQN, DIVIDEND - RS 4 PER SHARE,510.1,-2.8500000000000227,-0.5556097085485959,512.95,40695,20758519.5,1968488179137.08,549.0,321.3,510.1,https://static.nseindia.com/sparklines/today/preOpen_SBINEQN.jpg
IDFCFIRSTB,IDFCFIRSTBEQN, DIVIDEND RE 0.75 PER SHARE,44.45,-0.25,-0.5592841163310961,44.7,38148,1695678.6,138880142792.25,69.3,40.75,44.45,https://static.nseindia.com/sparklines/today/preOpen_IDFCFIRSTBEQN.jpg
INDUSINDBK,INDUSINDBKEQN, DIVIDEND - RS 5 PER SHARE,950.0,-5.7999999999999545,-0.6068215107763083,955.8,3743,3555850.0,621863385987.82,1242.0,811.0,950.0,https://static.nseindia.com/sparklines/today/preOpen_INDUSINDBKEQN.jpg
BANDHANBNK,BANDHANBNKEQN, ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,319.9,-2.0500000000000114,-0.6367448361546859,321.95,4457,1425794.3,217800383761.28,371.0,229.55,319.9,https://static.nseindia.com/sparklines/today/preOpen_BANDHANBNKEQN.jpg
RBLBANK,RBLBANKEQN, ANNUAL GENERAL MEETING,139.1,-1.25,-0.8906305664410403,140.35,21637,3009706.7,69830288237.27,259.9,123.8,139.1,https://static.nseindia.com/sparklines/today/preOpen_RBLBANKEQN.jpg
FEDERALBNK,FEDERALBNKEQN, ANNUAL GENERAL MEETING/DIVIDEND - RS 0.70 PER SHARE,97.0,-1.5,-1.5228426395939088,98.5,50569,4905193.0,196785323987.85,107.65,70.2,97.0,https://static.nseindia.com/sparklines/today/preOpen_FEDERALBNKEQN.jpg
