symbol,identifier,purpose,lastPrice,change,pChange,previousClose,finalQuantity,totalTurnover,marketCap,yearHigh,yearLow,iep,chartTodayPath
NXTDIGITAL,NXTDIGITALEQN, RIGHTS 2:5 @ PREMIUM RS 290/-,457.0,56.69999999999999,14.164376717461899,400.3,6853,3131821.0,-,548.5,333.3,457.0,https://static.nseindia.com/sparklines/today/preOpen_NXTDIGITALEQN.jpg
CALSOFT,CALSOFTEQN, ANNUAL GENERAL MEETING,47.2,4.25,9.89522700814901,42.95,15090,712248.0,-,52.5,7.4,47.2,https://static.nseindia.com/sparklines/today/preOpen_CALSOFTEQN.jpg
PODDARHOUS,PODDARHOUSEQN, ANNUAL GENERAL MEETING,254.9,12.650000000000006,5.221878224974202,242.25,3,764.7,-,313.0,141.75,254.9,https://static.nseindia.com/sparklines/today/preOpen_PODDARHOUSEQN.jpg
TANTIACONS,TANTIACONSBZN,,16.8,0.8000000000000007,5.000000000000004,16.0,1663,27938.4,-,34.05,1.7,16.8,https://static.nseindia.com/sparklines/today/preOpen_TANTIACONSBZN.jpg
SHAHALLOYS,SHAHALLOYSEQN, ANNUAL GENERAL MEETING,66.2,3.1500000000000057,4.996034892942118,63.05,10609,702315.8,-,64.2,6.5,66.2,-
GODHA,GODHABEN,,132.45,6.299999999999983,4.994054696789522,126.15,1173,155363.85,-,126.15,32.35,132.45,https://static.nseindia.com/sparklines/today/preOpen_GODHABEN.jpg
BCONCEPTS,BCONCEPTSEQN,,70.75,3.3499999999999943,4.97032640949554,67.4,591,41813.25,-,82.15,53.25,70.75,-
MEGASTAR,MEGASTAREQN,,131.05,6.200000000000017,4.965959150981191,124.85,4451,583303.55,-,124.85,110.2,131.05,-
TCIFINANCE,TCIFINANCEBEN,,7.4,0.35000000000000053,4.964539007092206,7.05,17,125.8,-,11.1,4.45,7.4,-
RAJTV,RAJTVBEN,,44.75,2.1000000000000014,4.923798358733884,42.65,70,3132.5,-,66.7,29.65,44.75,-
SETUINFRA,SETUINFRABEN,,3.2,0.15000000000000036,4.918032786885258,3.05,18060,57792.0,-,4.25,0.65,3.2,-
KRIDHANINF,KRIDHANINFBEN,,6.4,0.3000000000000007,4.918032786885258,6.1,1625,10400.0,-,8.55,3.25,6.4,-
INDOTHAI,INDOTHAIBEN,,300.45,14.050000000000011,4.905726256983244,286.4,8,2403.6,-,496.2,42.15,300.45,https://static.nseindia.com/sparklines/today/preOpen_INDOTHAIBEN.jpg
KANANIIND,KANANIINDBEN,,18.25,0.8500000000000014,4.885057471264377,17.4,2919,53271.75,-,20.5,3.8,18.25,-
NITIRAJ,NITIRAJEQN, ANNUAL GENERAL MEETING,71.0,3.299999999999997,4.874446085672078,67.7,35,2485.0,-,84.5,38.2,71.0,https://static.nseindia.com/sparklines/today/preOpen_NITIRAJEQN.jpg
UNITEDPOLY,UNITEDPOLYEQN,,33.4,1.5499999999999972,4.866562009419143,31.85,340,11356.0,-,55.2,17.35,33.4,-
PREMIER,PREMIERBEN,,6.5,0.2999999999999998,4.838709677419352,6.2,100,650.0,-,13.3,1.9,6.5,-
TFL,TFLEQN, ANNUAL GENERAL MEETING,10.85,0.5,4.830917874396135,10.35,1,10.85,-,14.1,2.2,10.85,https://static.nseindia.com/sparklines/today/preOpen_TFLEQN.jpg
ARTNIRMAN,ARTNIRMANBEN,,148.15,6.800000000000011,4.8107534488857535,141.35,2,296.3,-,195.9,30.05,148.15,-
DYNAMIC,DYNAMICSMN,,20.75,0.9499999999999993,4.797979797979794,19.8,2000,41500.0,-,57.7,18.0,20.75,-
STEELCAS,STEELCASEQN,,303.0,13.850000000000023,4.789901435241233,289.15,1,303.0,-,341.05,259.9,303.0,-
HINDNATGLS,HINDNATGLSEQN, ANNUAL GENERAL MEETING,19.75,0.8999999999999986,4.77453580901856,18.85,3650,72087.5,-,53.2,17.25,19.75,https://static.nseindia.com/sparklines/today/preOpen_HINDNATGLSEQN.jpg
RMCL,RMCLBZN,,3.3,0.1499999999999999,4.761904761904759,3.15,353,1164.9,-,4.5,1.9,3.3,-
PVP,PVPEQN, ANNUAL GENERAL MEETING,6.65,0.3000000000000007,4.72440944881891,6.35,9882,65715.3,-,9.8,4.2,6.65,https://static.nseindia.com/sparklines/today/preOpen_PVPEQN.jpg
IVP,IVPEQN, ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,192.0,8.599999999999994,4.689203925845144,183.4,29899,5740608.0,-,183.4,91.55,192.0,https://static.nseindia.com/sparklines/today/preOpen_IVPEQN.jpg
TECHIN,TECHINEQN, ANNUAL GENERAL MEETING,10.2,0.4499999999999993,4.615384615384608,9.75,200,2040.0,-,9.75,2.5,10.2,https://static.nseindia.com/sparklines/today/preOpen_TECHINEQN.jpg
SIKKO,SIKKOEQN,,57.9,2.5,4.512635379061372,55.4,11,636.9,-,79.65,38.6,57.9,-
BARTRONICS,BARTRONICSBZN,,6.95,0.2999999999999998,4.5112781954887184,6.65,540,3753.0,-,10.95,2.05,6.95,https://static.nseindia.com/sparklines/today/preOpen_BARTRONICSBZN.jpg
INNOVATIVE,INNOVATIVESMN,,7.0,0.2999999999999998,4.477611940298504,6.7,9000,63000.0,-,20.45,6.1,7.0,https://static.nseindia.com/sparklines/today/preOpen_INNOVATIVESMN.jpg
METALFORGE,METALFORGEBZN,,5.95,0.25,4.385964912280701,5.7,50,297.5,-,8.9,4.75,5.95,https://static.nseindia.com/sparklines/today/preOpen_METALFORGEBZN.jpg
SPENTEX,SPENTEXBZN,,2.4,0.10000000000000009,4.347826086956526,2.3,1000,2400.0,-,4.5,0.7,2.4,https://static.nseindia.com/sparklines/today/preOpen_SPENTEXBZN.jpg
DCM,DCMEQN, ANNUAL GENERAL MEETING,107.9,4.450000000000003,4.301594973417113,103.45,12,1294.8,-,146.0,23.0,107.9,https://static.nseindia.com/sparklines/today/preOpen_DCMEQN.jpg
CYBERMEDIA,CYBERMEDIABEN,,23.45,0.9499999999999993,4.222222222222219,22.5,1100,25795.0,-,23.5,8.45,23.45,-
SANWARIA,SANWARIABZN,,1.25,0.050000000000000044,4.1666666666666705,1.2,43721,54651.25,-,1.85,0.55,1.25,https://static.nseindia.com/sparklines/today/preOpen_SANWARIABZN.jpg
VIJIFIN,VIJIFINBEN,,3.8,0.1499999999999999,4.109589041095888,3.65,850,3230.0,-,6.9,0.55,3.8,-
DENORA,DENORABEN,,423.95,16.349999999999966,4.011285574092239,407.6,160,67832.0,-,538.8,239.05,423.95,-
SHIVAMAUTO,SHIVAMAUTOEQN, RIGHTS 2:9 @ PREMIUM RS 16/-,24.95,0.9499999999999993,3.9583333333333304,24.0,11150,278192.5,-,44.7,14.11,24.95,https://static.nseindia.com/sparklines/today/preOpen_SHIVAMAUTOEQN.jpg
BRNL,BRNLBEN,,42.2,1.6000000000000014,3.940886699507393,40.6,2025,85455.0,-,59.45,25.75,42.2,-
UNITECH,UNITECHBZN,,2.7,0.10000000000000009,3.8461538461538494,2.6,40906,110446.2,-,3.95,1.3,2.7,https://static.nseindia.com/sparklines/today/preOpen_UNITECHBZN.jpg
PANACEABIO,PANACEABIOEQN, ANNUAL GENERAL MEETING,211.7,7.75,3.799950968374602,203.95,1118,236680.6,-,449.0,165.3,211.7,https://static.nseindia.com/sparklines/today/preOpen_PANACEABIOEQN.jpg
VISESHINFO,VISESHINFOBEN,,1.4,0.04999999999999982,3.7037037037036904,1.35,5089159,7124822.6,-,1.75,0.05,1.4,-
RVHL,RVHLEQN, ANNUAL GENERAL MEETING,27.5,0.9499999999999993,3.5781544256120497,26.55,100,2750.0,-,34.8,15.05,27.5,https://static.nseindia.com/sparklines/today/preOpen_RVHLEQN.jpg
HAVISHA,HAVISHABEN,,2.9,0.10000000000000009,3.5714285714285747,2.8,850,2465.0,-,4.6,0.65,2.9,https://static.nseindia.com/sparklines/today/preOpen_HAVISHABEN.jpg
KHANDSE,KHANDSEBEN,,21.9,0.75,3.546099290780142,21.15,50,1095.0,-,33.65,12.35,21.9,-
EQUIPPP,EQUIPPPEQN, ANNUAL GENERAL MEETING,83.0,2.799999999999997,3.491271820448874,80.2,40,3320.0,-,142.3,71.3,83.0,-
ROLLT,ROLLTBEN,,3.0,0.10000000000000009,3.448275862068969,2.9,76,228.0,-,4.6,2.0,3.0,-
PUNJLLOYD,PUNJLLOYDBZN,,3.0,0.10000000000000009,3.448275862068969,2.9,1370,4110.0,-,4.5,1.2,3.0,https://static.nseindia.com/sparklines/today/preOpen_PUNJLLOYDBZN.jpg
VISHNU,VISHNUBEN,,1347.0,44.700000000000045,3.4323888504952813,1302.3,2884,3884748.0,-,1319.1,157.1,1347.0,-
TMRVL,TMRVLEQN, ANNUAL GENERAL MEETING,18.1,0.6000000000000014,3.4285714285714364,17.5,38,687.8,-,25.6,10.3,18.1,https://static.nseindia.com/sparklines/today/preOpen_TMRVLEQN.jpg
NGIL,NGILBEN,,268.0,8.800000000000011,3.3950617283950666,259.2,4,1072.0,-,328.0,58.65,268.0,-
3PLAND,3PLANDBEN,,17.0,0.5500000000000007,3.3434650455927097,16.45,1,17.0,-,26.3,7.65,17.0,-
NIBL,NIBLEQN, ANNUAL GENERAL MEETING,24.8,0.8000000000000007,3.333333333333336,24.0,10,248.0,-,34.7,9.05,24.8,-
CREST,CRESTBEN,,184.0,5.900000000000006,3.3127456485120748,178.1,4,736.0,-,188.0,72.15,184.0,-
