symbol,identifier,purpose,lastPrice,change,pChange,previousClose,finalQuantity,totalTurnover,marketCap,yearHigh,yearLow,iep,chartTodayPath
HAL,HALEQN,INTERIM DIVIDEND - RS 26 PER SHARE,1375.0,10.450000000000045,0.7658202337767063,1364.55,3469,4769875.0,114072115781.25,1566.0,929.0,1375.0,https://static.nseindia.com/sparklines/today/preOpen_HALEQN.jpg
IDEA,IDEAEQN, ANNUAL GENERAL MEETING,10.6,0.049999999999998934,0.47393364928908943,10.55,526154,5577232.4,84884339814.96,16.8,4.55,10.6,https://static.nseindia.com/sparklines/today/preOpen_IDEAEQN.jpg
ADANIENT,ADANIENTEQN, DIVIDEND - RE 1 PER SHARE,1739.0,8.049999999999955,0.46506253791270424,1730.95,6454,11223506.0,475929065792.21,1908.5,729.5,1739.0,https://static.nseindia.com/sparklines/today/preOpen_ADANIENTEQN.jpg
ALKEM,ALKEMEQN,INTERIM DIVIDEND - RS 30 PER SH,3395.0,14.849999999999909,0.43932961554960304,3380.15,110,373450.0,157617577552.5,4070.0,2540.05,3395.0,https://static.nseindia.com/sparklines/today/preOpen_ALKEMEQN.jpg
HINDCOPPER,HINDCOPPEREQN, ANNUAL GENERAL MEETING/DIVIDEND - RS 0.35 PER SHARE,126.0,0.5,0.398406374501992,125.5,23134,2914884.0,41262914933.4,196.75,75.1,126.0,https://static.nseindia.com/sparklines/today/preOpen_HINDCOPPEREQN.jpg
TORNTPOWER,TORNTPOWEREQN,INTERIM DIVIDEND - RS 9 PER SHARE,480.95,1.75,0.3651919866444074,479.2,3276,1575592.2,80609047012.48,606.55,342.25,480.95,https://static.nseindia.com/sparklines/today/preOpen_TORNTPOWEREQN.jpg
TORNTPHARM,TORNTPHARMEQN,INTERIM DIVIDEND - RS 25 PER SHARE,2600.0,7.550000000000182,0.2912303033809787,2592.45,29,75400.0,127223417734.56,3298.5,2311.1,2600.0,https://static.nseindia.com/sparklines/today/preOpen_TORNTPHARMEQN.jpg
LUPIN,LUPINEQN, DIVIDEND - RS 6.50 PER SHARE,773.85,1.5500000000000682,0.20069921015150438,772.3,6449,4990558.65,185911406994.25,1267.65,748.0,773.85,https://static.nseindia.com/sparklines/today/preOpen_LUPINEQN.jpg
MARICO,MARICOEQN,INTERIM DIVIDEND - RS 6.25 PER SHARE,506.9,0.75,0.14817741776153315,506.15,1834,929654.6,261650389281.28,607.7,379.1,506.9,https://static.nseindia.com/sparklines/today/preOpen_MARICOEQN.jpg
ICICIPRULI,ICICIPRULIEQN, DIVIDEND - RS 2 PER SHARE,518.65,0.75,0.14481560146746478,517.9,4515,2341704.75,200979891723.12,724.3,418.5,518.65,https://static.nseindia.com/sparklines/today/preOpen_ICICIPRULIEQN.jpg
